Group No,Group Name,CH No,Name,SEL,Frequency,Dup,Offset,Mode,DATA,Filter,Tone,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign,Split
13,Local Repeaters,0,W8NWS,OFF,443.7,DUP+,5,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8ESS,OFF,927.55,DUP-,25,FM,OFF,1,Tone,110.9,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8SCH,OFF,146.67,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8SCH,OFF,146.925,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8BIG,OFF,145.35,DUP-,0.6,DV,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8YOJ,OFF,145.37,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8KJ,OFF,443.575,DUP+,5,FM,OFF,1,Cross,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WB8FXJ,OFF,442.175,DUP+,5,DMR,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,K8BIG,OFF,444,DUP+,5,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,Star Tower,OFF,927.025,DUP-,25,FM,OFF,1,TSQL,88.5,123,023,,OFF,0,CQCQCQ,,,OFF
13,Local Repeaters,0,W8ESS,OFF,145.19,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,NO8I,OFF,442.95,DUP+,5,FM,OFF,1,TSQL,88.5,118.8,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8BI,OFF,146.94,DUP-,0.6,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8BI,OFF,223.94,DUP-,1.6,FM,OFF,1,,88.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,W8BI,OFF,442.1,DUP+,5,FM,OFF,1,TSQL,88.5,123,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,KB8ZR,OFF,443.5,DUP+,5,FM,OFF,1,Tone,103.5,88.5,023,BOTH N,,,,,,OFF
13,Local Repeaters,0,WB8ART,OFF,145.43,DUP-,0.6,FM,OFF,2,TSQL,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,NY1A,OFF,443.6,DUP+,5,FM,OFF,2,TSQL,88.5,123,,,,,,,,OFF
13,Local Repeaters,0,KI6SZ,OFF,444.3125,DUP+,5,FM,OFF,2,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WF8M,OFF,146.985,DUP-,0.6,FM,OFF,2,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,K8MCA,OFF,444.25,DUP+,5,FM,OFF,2,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,WA8PLZ,OFF,146.82,DUP-,0.6,FM,OFF,2,TSQL,88.5,77,,,,,,,,OFF
13,Local Repeaters,0,WA8PLZ,OFF,147.36,DUP+,0.6,DMR,OFF,2,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,NV8E,OFF,442.45,DUP+,5,FM,OFF,2,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,WA8ZWJ,OFF,442.85,DUP+,5,FM,OFF,2,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,W6CDR,OFF,146.775,DUP-,0.6,FM,OFF,2,Tone,77,88.5,,,,,,,,OFF
13,Local Repeaters,0,W6CDR,OFF,442.75,DUP+,5,FM,OFF,2,Tone,94.8,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8GUC,OFF,444.6625,DUP+,5,FM,OFF,2,Tone,123,88.5,,,,,,,,OFF
13,Local Repeaters,0,W8NCI,OFF,147.015,DUP+,0.6,FM,OFF,1,Tone,77,88.5,,,,,,,,OFF
13,Local Repeaters,0,K8ZQ,OFF,444.5,DUP+,5,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
13,Local Repeaters,0,WC8OH,OFF,224.16,DUP-,1.6,FM,OFF,1,,88.5,88.5,,,,,,,,OFF
